Frequency,Time (dB SPL),FFT (dB SPL),Calibrated Time (dB SPL),Calibrated FFT (dB SPL),Normalization (dB SPL),THD,TestSignal 0.1V=99.2dB SPL
100.640999,63.16394,61.2594,No Data, No Data,37.9246,-17.6098,
105.572411,64.05837,61.7213,No Data, No Data,37.46273,-29.0884,
110.745461,63.91755,62.2675,No Data, No Data,36.9165,-20.6759,
116.171989,66.17123,64.3886,No Data, No Data,34.79541,-20.5429,
121.864418,64.78899,62.7833,No Data, No Data,36.4007,-18.745,
127.835777,65.16855,64.1286,No Data, No Data,35.05544,-22.4583,
134.099731,65.99874,63.937,No Data, No Data,35.24704,-21.0368,
140.670624,65.90011,64.8927,No Data, No Data,34.29126,-22.8138,
147.563492,66.22878,65.2228,No Data, No Data,33.96116,-20.9105,
154.794113,66.8597,65.9038,No Data, No Data,33.28016,-22.4006,
162.379028,67.75432,66.9205,No Data, No Data,32.26354,-26.0987,
170.335602,68.3374,66.951,No Data, No Data,32.23304,-23.8459,
178.682053,68.4924,67.8485,No Data, No Data,31.33547,-25.2389,
187.437485,69.01889,68.5544,No Data, No Data,30.62963,-23.1572,
196.621933,68.96135,68.5194,No Data, No Data,30.66463,-24.1277,
206.256409,70.10943,69.2833,No Data, No Data,29.90073,-30.2108,
216.362976,70.23298,70.0039,No Data, No Data,29.18013,-30.8107,
226.964767,70.91967,70.639,No Data, No Data,28.54501,-27.4373,
238.086044,71.55362,71.2977,No Data, No Data,27.88632,-32.1974,
249.752274,72.15044,71.9639,No Data, No Data,27.22007,-33.5539,
261.990143,72.67735,72.5385,No Data, No Data,26.64546,-35.4232,
274.827667,73.25595,73.0992,No Data, No Data,26.08477,-30.1608,
288.29422,74.51751,73.755,No Data, No Data,25.42894,-29.837,
302.420654,74.47783,74.2796,No Data, No Data,24.90437,-37.8753,
317.239288,75.56492,75.3898,No Data, No Data,23.79418,-38.7789,
332.784027,76.0272,75.935,No Data, No Data,23.24903,-38.5177,
349.090454,76.54379,76.4336,No Data, No Data,22.75039,-38.9821,
366.195892,77.52741,77.4572,No Data, No Data,21.72684,-39.7101,
384.139496,78.008,77.9459,No Data, No Data,21.23813,-41.3293,
402.962341,79.0882,78.9233,No Data, No Data,20.26072,-45.4419,
422.70752,79.40758,79.3769,No Data, No Data,19.80707,-45.7119,
443.420197,80.30329,80.2412,No Data, No Data,18.94277,-47.4964,
465.147797,81.14577,81.092,No Data, No Data,18.09199,-48.1334,
487.940063,81.93352,81.8997,No Data, No Data,17.28425,-48.6917,
511.849152,82.69642,82.6389,No Data, No Data,16.54505,-48.7175,
536.929749,83.35441,83.3275,No Data, No Data,15.85651,-48.6383,
563.239319,83.99242,83.9634,No Data, No Data,15.22055,-48.0077,
590.838074,84.81356,84.7755,No Data, No Data,14.40845,-46.8022,
619.789124,85.29816,85.2792,No Data, No Data,13.90477,-48.6438,
650.158813,85.87071,85.8483,No Data, No Data,13.33571,-52.5455,
682.016602,86.20523,86.1793,No Data, No Data,13.00472,-54.0565,
715.435425,86.59187,86.5708,No Data, No Data,12.6132,-54.8546,
750.49176,86.87716,86.8598,No Data, No Data,12.32414,-54.2439,
787.265869,87.10034,87.0756,No Data, No Data,12.10843,-53.1657,
825.841919,87.27338,87.2495,No Data, No Data,11.93448,-51.2749,
866.308167,87.46128,87.441,No Data, No Data,11.74301,-48.078,
908.757263,87.57814,87.5571,No Data, No Data,11.62694,-47.0192,
953.286377,87.74044,87.7191,No Data, No Data,11.46493,-49.8086,
999.997437,87.91612,87.8983,No Data, No Data,11.28569,-53.7218,
1048.997314,88.13597,88.1142,No Data, No Data,11.06979,-56.8042,
1100.398193,88.39032,88.3731,No Data, No Data,10.81094,-59.4687,
1154.317749,88.78831,88.771,No Data, No Data,10.41298,-61.7316,
1210.879395,89.28207,89.2637,No Data, No Data,9.92033,-64.0166,
1270.212524,89.87647,89.8603,No Data, No Data,9.32367,-65.7827,
1332.453003,90.58714,90.5714,No Data, No Data,8.6126,-68.3518,
1397.743286,91.43188,91.4163,No Data, No Data,7.7677,-70.0271,
1466.232788,92.66327,92.6494,No Data, No Data,6.53459,-72.034,
1538.078247,94.20309,94.1896,No Data, No Data,4.99437,-74.4808,
1613.444092,96.13803,96.1248,No Data, No Data,3.05915,-76.8887,
1692.50293,98.96636,98.9429,No Data, No Data,0.24106,-78.7466,
1775.435669,101.55431,101.5331,No Data, No Data,-2.34914,-75.2733,
1862.432007,100.80343,100.7905,No Data, No Data,-1.60648,-73.0288,
1953.691162,97.07462,97.0616,No Data, No Data,2.12241,-73.2688,
2049.422119,93.71965,93.7053,No Data, No Data,5.4787,-72.598,
2149.84375,91.10624,91.0762,No Data, No Data,8.10783,-73.0283,
2255.186035,88.75625,88.7359,No Data, No Data,10.44813,-72.3113,
2365.690186,86.86034,86.8404,No Data, No Data,12.34363,-71.0487,
2481.609131,85.11809,85.0957,No Data, No Data,14.08828,-69.5271,
2603.208008,83.65609,83.6284,No Data, No Data,15.55559,-69.0313,
2730.765381,82.28863,82.2545,No Data, No Data,16.92952,-66.0195,
2864.572998,81.15305,81.0774,No Data, No Data,18.10664,-61.595,
3004.937256,80.04224,79.9736,No Data, No Data,19.21043,-54.3023,
3152.179199,79.08293,79.0271,No Data, No Data,20.15693,-60.0852,
3306.635986,78.22531,78.1525,No Data, No Data,21.03149,-64.6966,
3468.661133,77.42835,77.355,No Data, No Data,21.82897,-66.9537,
3638.625732,76.78047,76.7035,No Data, No Data,22.48052,-67.2898,
3816.918457,76.23178,76.14,No Data, No Data,23.044,-68.8053,
4003.94751,75.80547,75.6815,No Data, No Data,23.50246,-66.2697,
4200.141113,75.52889,75.4029,No Data, No Data,23.7811,-64.5169,
4405.948242,75.40397,75.2506,No Data, No Data,23.93335,-62.1052,
4621.839844,75.44108,75.3114,No Data, No Data,23.8726,-61.1642,
4848.310059,75.79833,75.6672,No Data, No Data,23.5168,-56.991,
5085.877441,76.5397,76.421,No Data, No Data,22.76296,-53.8587,
5335.085449,77.88676,77.8117,No Data, No Data,21.37226,-52.57,
5596.504883,80.2605,80.221,No Data, No Data,18.96303,-51.0639,
5870.733887,85.16746,85.1417,No Data, No Data,14.04233,-48.5611,
6158.399902,84.86466,84.8412,No Data, No Data,14.34282,-48.0994,
6460.161621,76.36395,76.2399,No Data, No Data,22.94413,-55.4163,
6776.709473,70.78193,70.171,No Data, No Data,29.01303,-57.6069,
7108.768555,66.71311,65.6377,No Data, No Data,33.54629,-57.902,
7457.098633,64.33024,62.9737,No Data, No Data,36.21033,-58.404,
7822.496582,65.20901,62.8323,No Data, No Data,36.35168,-54.7171,
8205.798828,65.84493,64.4269,No Data, No Data,34.75708,-60.6342,
8607.882813,67.54428,66.9231,No Data, No Data,32.26085,-62.672,
9029.668945,69.7626,69.3849,No Data, No Data,29.79911,-59.8666,
9472.123047,72.5221,72.3028,No Data, No Data,26.88118,-65.6035,
9936.256836,74.68069,74.5508,No Data, No Data,24.63319,-67.154,
10423.13379,74.4493,74.3116,No Data, No Data,24.87236,-75.3635,
10933.86719,73.28794,72.84,No Data, No Data,26.34396,-68.9347,
11469.62695,71.90233,71.5277,No Data, No Data,27.65634,-72.016,
12031.63867,71.82815,71.5525,No Data, No Data,27.63147,-75.0325,
