Frequency,Time (dB SPL),FFT (dB SPL),Calibrated Time (dB SPL),Calibrated FFT (dB SPL),Normalization (dB SPL),THD,TestSignal 0.1V=97.6dB SPL
100.640999,60.73658,58.652077,No Data, No Data,38.1174395,-23.3239995,
105.572411,61.2004805,60.32389825,No Data, No Data,36.44561775,-23.238923,
110.745461,60.501175,58.44886775,No Data, No Data,38.32064825,-21.03526925,
116.171989,62.29929075,59.6716945,No Data, No Data,37.09782125,-20.94879225,
121.864418,62.11123575,60.1985865,No Data, No Data,36.5709295,-24.397058,
127.835777,62.020547,60.856616,No Data, No Data,35.9129,-26.66234525,
134.099731,62.1397265,60.74146525,No Data, No Data,36.02805025,-26.048522,
140.670624,62.89750675,61.92719475,No Data, No Data,34.8423215,-27.10871375,
147.563492,63.40030875,62.13023575,No Data, No Data,34.63928025,-25.94655825,
154.794113,63.723306,62.75462525,No Data, No Data,34.01489075,-27.925264,
162.379028,65.721531,63.90986525,No Data, No Data,32.8596505,-25.78790925,
170.335602,64.4863315,63.49822425,No Data, No Data,33.27129175,-25.519802,
178.682053,65.605614,64.53286925,No Data, No Data,32.23664675,-30.253323,
187.437485,66.023962,65.15051675,No Data, No Data,31.61899975,-30.548943,
196.621933,65.61269575,65.17324625,No Data, No Data,31.5962695,-31.58687975,
206.256409,66.9198435,65.711708,No Data, No Data,31.05780775,-34.182046,
216.362976,67.36167875,66.62399675,No Data, No Data,30.14551925,-32.37800375,
226.964767,67.67416975,67.22129625,No Data, No Data,29.5482195,-33.28343575,
238.086044,68.14871775,67.8187925,No Data, No Data,28.95072375,-33.92456325,
249.752274,68.85448275,68.47824475,No Data, No Data,28.29127125,-33.72042875,
261.990143,69.40534975,69.0672305,No Data, No Data,27.70228575,-37.37674925,
274.827667,69.9010085,69.71260825,No Data, No Data,27.0569075,-38.0412215,
288.29422,70.5300445,70.2253305,No Data, No Data,26.54418575,-36.35355875,
302.420654,71.039194,70.82819725,No Data, No Data,25.9413185,-39.33610325,
317.239288,72.09577175,71.949879,No Data, No Data,24.8196375,-39.40417975,
332.784027,72.575384,72.4424685,No Data, No Data,24.3270475,-37.3262835,
349.090454,73.0945055,72.96689025,No Data, No Data,23.80262575,-39.0657995,
366.195892,74.033346,73.92453775,No Data, No Data,22.8449785,-41.585636,
384.139496,74.56635875,74.45211975,No Data, No Data,22.317396,-42.7785425,
402.962341,75.48166275,75.36907025,No Data, No Data,21.40044575,-45.29116925,
422.70752,75.93055525,75.87451175,No Data, No Data,20.89500425,-46.160714,
443.420197,76.8078155,76.73648825,No Data, No Data,20.0330275,-46.97281275,
465.147797,77.635538,77.5886115,No Data, No Data,19.1809045,-47.45490725,
487.940063,78.415825,78.3714865,No Data, No Data,18.3980295,-47.59200675,
511.849152,79.14524675,79.10807975,No Data, No Data,17.661436,-47.2397755,
536.929749,79.82950225,79.79553975,No Data, No Data,16.97397575,-46.4579975,
563.239319,80.45823875,80.412134,No Data, No Data,16.3573815,-45.24811275,
590.838074,81.259348,81.22826775,No Data, No Data,15.54124825,-45.63127225,
619.789124,81.72818175,81.7008455,No Data, No Data,15.06867,-48.80019375,
650.158813,82.3262235,82.293928,No Data, No Data,14.47558775,-52.77658825,
682.016602,82.64878825,82.62744875,No Data, No Data,14.14206675,-54.2216205,
715.435425,83.04780575,83.02414925,No Data, No Data,13.745367,-54.794219,
750.49176,83.36465825,83.341158,No Data, No Data,13.428358,-54.18470775,
787.265869,83.60895725,83.582941,No Data, No Data,13.186575,-52.4623345,
825.841919,83.80595775,83.7831075,No Data, No Data,12.98640825,-50.4983995,
866.308167,84.020422,83.9959755,No Data, No Data,12.77354025,-47.885024,
908.757263,84.165245,84.14172575,No Data, No Data,12.6277905,-48.83591775,
953.286377,84.35023875,84.328951,No Data, No Data,12.440565,-52.70939475,
999.997437,84.54821575,84.53100975,No Data, No Data,12.23850625,-56.202734,
1048.997314,84.78236225,84.762062,No Data, No Data,12.00745375,-58.94153325,
1100.398193,85.06909575,85.03725825,No Data, No Data,11.732258,-61.43272125,
1154.317749,85.48325325,85.462469,No Data, No Data,11.30704675,-63.091754,
1210.879395,86.0148925,85.997183,No Data, No Data,10.77233325,-65.951642,
1270.212524,86.67272775,86.65479275,No Data, No Data,10.11472325,-66.74640075,
1332.453003,87.4707625,87.454033,No Data, No Data,9.315483,-69.24911875,
1397.743286,88.43381325,88.41904425,No Data, No Data,8.35047125,-71.197836,
1466.232788,89.85913475,89.843462,No Data, No Data,6.926054,-73.347048,
1538.078247,91.64834975,91.6343535,No Data, No Data,5.13516225,-77.62053675,
1613.444092,93.87978925,93.8665735,No Data, No Data,2.9029425,-81.458372,
1692.50293,96.803961,96.79101575,No Data, No Data,-0.0214995,-80.7362425,
1775.435669,97.807707,97.7947085,No Data, No Data,-1.02519225,-77.61061675,
1862.432007,95.1223565,95.10920525,No Data, No Data,1.66031075,-76.1816825,
1953.691162,91.37911025,91.36495025,No Data, No Data,5.404566,-75.96410575,
2049.422119,88.36713225,88.350933,No Data, No Data,8.418583,-75.04557225,
2149.84375,85.981247,85.96183575,No Data, No Data,10.80768,-71.34729175,
2255.186035,83.809702,83.7856445,No Data, No Data,12.98387125,-67.3854655,
2365.690186,82.0104675,81.9833715,No Data, No Data,14.786144,-68.74294875,
2481.609131,80.33386025,80.29162025,No Data, No Data,16.47789575,-69.21839525,
2603.208008,78.8845555,78.84241475,No Data, No Data,17.92710125,-68.529671,
2730.765381,77.503397,77.45833975,No Data, No Data,19.31117625,-67.53061875,
2864.572998,76.32794375,76.24374575,No Data, No Data,20.52577025,-64.85096075,
3004.937256,75.1534555,75.076605,No Data, No Data,21.692911,-64.009947,
3152.179199,74.124693,74.042551,No Data, No Data,22.726965,-58.80327625,
3306.635986,73.16315275,73.04595175,No Data, No Data,23.72356425,-47.8935375,
3468.661133,72.55240625,72.0956975,No Data, No Data,24.6738185,-52.0222005,
3638.625732,72.0570315,71.2500515,No Data, No Data,25.5194645,-55.340581,
3816.918457,70.66622725,70.44805925,No Data, No Data,26.32145725,-55.7369375,
4003.94751,71.03412625,69.6716975,No Data, No Data,27.09781825,-55.06827175,
4200.141113,70.2603835,69.0182325,No Data, No Data,27.75128375,-53.5895695,
4405.948242,68.94532575,68.3965645,No Data, No Data,28.3729515,-50.50935,
4621.839844,68.1708375,67.83017725,No Data, No Data,28.93933875,-50.61951825,
4848.310059,67.82173925,67.41888025,No Data, No Data,29.3506355,-48.977233,
5085.877441,67.64488225,67.19969575,No Data, No Data,29.5698205,-48.14446275,
5335.085449,67.7271825,67.34023075,No Data, No Data,29.42928475,-48.81084525,
5596.504883,68.560999,68.12115475,No Data, No Data,28.648361,-49.07521625,
5870.733887,70.53483,70.26974675,No Data, No Data,26.49976925,-49.51104275,
6158.399902,74.9456345,74.846857,No Data, No Data,21.922659,-47.990655,
6460.161621,83.1049365,83.08242425,No Data, No Data,13.68709175,-46.540843,
6776.709473,86.0688305,86.052067,No Data, No Data,10.717449,-49.180972,
7108.768555,80.132759,80.0978965,No Data, No Data,16.6716195,-62.67746075,
7457.098633,77.65750675,77.5989455,No Data, No Data,19.1705705,-70.1419565,
7822.496582,76.82152925,76.7490885,No Data, No Data,20.02042775,-68.57319275,
8205.798828,76.844429,76.7843875,No Data, No Data,19.98512825,-73.874586,
8607.882813,77.5665835,77.50842275,No Data, No Data,19.26109325,-70.08270075,
9029.668945,78.4821035,78.43599525,No Data, No Data,18.333521,-70.7849235,
9472.123047,78.82070325,78.77511225,No Data, No Data,17.99440375,-78.98379725,
9936.256836,78.1116295,78.07206325,No Data, No Data,18.6974525,-74.21105775,
10423.13379,76.8818685,76.82661075,No Data, No Data,19.9429055,-73.1799945,
10933.86719,75.61999125,75.48560525,No Data, No Data,21.28391075,-75.39585875,
11469.62695,74.291836,74.2185765,No Data, No Data,22.55093975,-77.9883805,
12031.63867,73.09076325,72.98499325,No Data, No Data,23.78452325,-75.21994975,
